SQL­CODE,GDSCODE,Symbol,Message Text
501,335544802,dialect_reset_warning,Database dialect being changed from 3 to 1
304,335545266,truncate_warn,String truncated warning due to the following reason
304,335545267,truncate_monitor,Monitoring data does not fit into the field
304,335545268,truncate_context,Engine data does not fit into return value of system function
301,335544808,dtype_renamed,DATE data type is now called TIMESTAMP
301,336003076,dsql_dialect_warning_expr,Use of @1 expression that returns different results in dialect 1 and dialect 3
301,336003080,dsql_warning_number_ambiguous,WARNING: Numeric literal @1 is interpreted as a floating-point
301,336003081,dsql_warning_number_ambiguous1,"value in SQL dialect 1, but as an exact numeric value in SQL dialect 3."
301,336003082,dsql_warn_precision_ambiguous,WARNING: NUMERIC and DECIMAL fields with precision 10 or greater are stored
301,336003083,dsql_warn_precision_ambiguous1,"as approximate floating-point values in SQL dialect 1, but as 64-bit"
301,336003084,dsql_warn_precision_ambiguous2,integers in SQL dialect 3.
300,335544807,sqlwarn,SQL warning code = @1
106,336068855,dyn_miss_priv_warning,Warning: @1 on @2 is not granted to @3.
101,335544366,segment,segment buffer length shorter than expected
100,335544338,from_no_match,no match for first value expression
100,335544354,no_record,invalid database key
100,335544367,segstr_eof,attempted retrieval of more segments than exist
0,335544875,bad_debug_format,Bad debug info format
0,335544931,montabexh,Monitoring table space exhausted
-84,335544554,nonsql_security_rel,object has non-SQL security class defined
-84,335544555,nonsql_security_fld,column has non-SQL security class defined
-84,335544668,dsql_procedure_use_err,procedure @1 does not return any values
-85,335544747,usrname_too_long,The username entered is too long.  Maximum length is 31 bytes.
-85,335544748,password_too_long,The password specified is too long.  Maximum length is 8 bytes.
-85,335544749,usrname_required,A username is required for this operation.
-85,335544750,password_required,A password is required for this operation
-85,335544751,bad_protocol,The network protocol specified is invalid
-85,335544752,dup_usrname_found,A duplicate user name was found in the security database
-85,335544753,usrname_not_found,The user name specified was not found in the security database
-85,335544754,error_adding_sec_record,An error occurred while attempting to add the user.
-85,335544755,error_modifying_sec_record,An error occurred while attempting to modify the user record.
-85,335544756,error_deleting_sec_record,An error occurred while attempting to delete the user record.
-85,335544757,error_updating_sec_db,An error occurred while updating the security database.
-103,335544571,dsql_constant_err,Data type for constant unknown
-104,335544343,invalid_blr,invalid request BLR at offset @1
-104,335544390,syntaxerr,"BLR syntax error: expected @1 at offset @2, encountered @3"
-104,335544425,ctxinuse,context already in use (BLR error)
-104,335544426,ctxnotdef,context not defined (BLR error)
-104,335544429,badparnum,undefined parameter number
-104,335544440,bad_msg_vec,""
-104,335544456,invalid_sdl,invalid slice description language at offset @1
-104,335544570,dsql_command_err,Invalid command
-104,335544579,dsql_internal_err,Internal error
-104,335544590,dsql_dup_option,Option specified more than once
-104,335544591,dsql_tran_err,Unknown transaction option
-104,335544592,dsql_invalid_array,Invalid array reference
-104,335544608,command_end_err,Unexpected end of command
-104,335544612,token_err,Token unknown
-104,335544634,dsql_token_unk_err,"Token unknown - line @1, column @2"
-104,335544709,dsql_agg_ref_err,Invalid aggregate reference
-104,335544714,invalid_array_id,invalid blob id
-104,335544730,cse_not_supported,Client/Server Express not supported in this release
-104,335544743,token_too_long,token size exceeds limit
-104,335544763,invalid_string_constant,a string constant is delimited by double quotes
-104,335544764,transitional_date,DATE must be changed to TIMESTAMP
-104,335544796,sql_dialect_datatype_unsupport,Client SQL dialect @1 does not support reference to @2 datatype
-104,335544798,depend_on_uncommitted_rel,You created an indirect dependency on uncommitted metadata. You must roll back the current transaction.
-104,335544821,dsql_column_pos_err,Invalid column position used in the @1 clause
-104,335544822,dsql_agg_where_err,"Cannot use an aggregate or window function in a WHERE clause, use HAVING (for aggregate only) instead"
-104,335544823,dsql_agg_group_err,Cannot use an aggregate or window function in a GROUP BY clause
-104,335544824,dsql_agg_column_err,Invalid expression in the @1 (not contained in either an aggregate function or the GROUP BY clause)
-104,335544825,dsql_agg_having_err,Invalid expression in the @1 (neither an aggregate function nor a part of the GROUP BY clause)
-104,335544826,dsql_agg_nested_err,Nested aggregate and window functions are not allowed
-104,335544849,malformed_string,Malformed string
